param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
output,g158_phi_2,1,10,0.5917655936219417,0,0.6095090358257111
output,g159_phi_1,1,10,-0.1611005591981235,0,-0.07610865007994987
output,g159_Phi,1,10,0.2873985892342541,0,0.30185437226958667
output,g159_phi_2,1,10,0.6132073521037599,0,0.6181422708462816
output,g161_phi_1,1,10,0.01895002150097482,0,0.07022263346095815
output,g161_Phi,1,10,0.41006829123836236,0,0.44211901374515933
output,g161_phi_2,1,10,0.6088468223264115,0,0.6247666672214047
output,g162_phi_1,1,10,0.5418911250960011,0,0.5629111450476485
output,g162_Phi,1,10,0.43314553700033953,0,0.45546918555765953
output,g162_phi_2,1,10,-3.2831872847802868,0,0.7971497735698023
output,g163_phi_1,1,10,0.1852304161675628,0,0.23789545463960377
output,g163_Phi,1,10,0.19887692724355285,0,0.21658811107550163
output,g163_phi_2,1,10,0.5160988770523541,0,0.5258607729318537
output,g164_phi_1,1,10,-0.8586756727245825,0,-0.4839540614797122
output,g164_Phi,1,10,0.36114208775333284,0,0.3758098779959138
output,g164_phi_2,1,10,0.5176840398009741,0,0.5329962938657595
output,g165_phi_1,1,10,0.6822895162128295,0,0.7268738503206976
output,g165_Phi,1,10,0.44779349740938174,0,0.47610671684019135
output,g165_phi_2,1,10,-0.20878670571014796,0,0.06870521969194122
output,g166_phi_1,1,10,-0.3103360349842296,0,-0.1991867278977611
output,g166_Phi,1,10,0.4387005329007363,0,0.44757661352292216
output,g166_phi_2,1,10,0.5097668727783872,0,0.537479079368278
output,g167_phi_1,1,10,0.04229980741362536,0,0.10557830405203708
output,g167_Phi,1,10,0.3989637361255204,0,0.4231639238503484
output,g167_phi_2,1,10,0.46852455729970266,0,0.4758744893194367
output,g169_phi_1,1,10,0.16802580877462903,0,0.1955675806597276
output,g169_Phi,1,10,0.28357257796692453,0,0.3212462129905911
output,g169_phi_2,1,10,0.6377998291200472,0,0.6455696293511514
output,g172_phi_1,1,10,0.064083435963596,0,0.3222399749311519
output,g172_Phi,1,10,0.463803434499168,0,0.4856788465039093
output,g172_phi_2,1,10,0.4481959946410675,0,0.5687764903087901
output,g173_phi_1,1,10,-0.36519033461696554,0,-0.10553993496094004
output,g173_Phi,1,10,0.3834742570500509,0,0.3975750480022888
output,g173_phi_2,1,10,0.4257298045960987,0,0.4711596419819758
output,g174_phi_1,1,10,0.03422726077055066,0,0.18471981515027144
output,g174_Phi,1,10,0.2528287680405923,0,0.29861294775994696
output,g174_phi_2,1,10,0.5701107653554137,0,0.5997193623970982
output,g175_phi_1,1,10,-0.10957339185948163,0,-0.03140498990966628
output,g175_Phi,1,10,0.37099393351474386,0,0.39038748031727893
output,g175_phi_2,1,10,0.4544332281165885,0,0.47765655454692857
