param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g72_Phi,1,0,0.46341515152122237,10,0.46046182672659935
output,g72_phi_2,1,0,0.2981322917796097,10,0.2438810022183186
output,g73_phi_1,1,0,0.3174783139230186,10,0.2917905063857841
output,g73_Phi,1,0,0.3289908554494287,10,0.29721319598964135
output,g73_phi_2,1,0,0.6643316543697151,10,0.6607611589410143
output,g74_phi_1,1,0,0.41402019565366277,10,0.4010384778327679
output,g74_Phi,1,0,0.37419825792908273,10,0.36074484121040334
output,g74_phi_2,1,0,0.6326698318731918,10,0.6273043954776591
output,g75_phi_1,1,0,0.4280213440860496,10,0.3847654667676279
output,g75_Phi,1,0,0.36908592082150776,10,0.360650205119749
output,g75_phi_2,1,0,0.7200682988375083,10,0.7094226157973416
output,g76_phi_1,1,0,0.33318520805276225,10,0.29056879898448357
output,g76_Phi,1,0,0.45123362442678905,10,0.4345050325020733
output,g76_phi_2,1,0,0.6490621218464678,10,0.6203338898866394
output,g77_phi_1,1,0,0.07903645708748952,10,-0.004614925751770063
output,g77_Phi,1,0,0.2764388250213086,10,0.26283063485565966
output,g77_phi_2,1,0,0.6023964391947223,10,0.5958928579419485
output,g78_phi_1,1,0,0.6699580840602072,10,0.6541476521488965
output,g78_Phi,1,0,0.4776420956558481,10,0.4609128699872859
output,g78_phi_2,1,0,-0.2239965713876611,10,-0.3277266116870504
output,g79_phi_1,1,0,-0.044297821538060014,10,-0.0918314343427829
output,g79_Phi,1,0,0.33761897241938565,10,0.3252898372075511
output,g79_phi_2,1,0,0.4870534887814274,10,0.4791864735462451
output,g80_phi_1,1,0,0.17614916112654935,10,0.11531089491049945
output,g80_Phi,1,0,0.3260694665888942,10,0.3210803646972383
output,g80_phi_2,1,0,0.6317784932109055,10,0.6294605696422884
output,g81_phi_1,1,0,0.06840851977816172,10,0.022964206517992806
output,g81_Phi,1,0,0.3424424210318368,10,0.3190643983685094
output,g81_phi_2,1,0,0.5504118190080738,10,0.5431239795478644
output,g82_phi_1,1,0,0.3659370228236173,10,0.3143729000093277
output,g82_Phi,1,0,0.4404525182496212,10,0.429235339626655
output,g82_phi_2,1,0,0.6629466143326246,10,0.6353329239337632
output,g83_phi_1,1,0,0.2315715255284156,10,0.21096025541681185
output,g83_Phi,1,0,0.20625903520928293,10,0.19758376903577685
output,g83_phi_2,1,0,0.6197088407510848,10,0.6172520330907968
output,g84_phi_1,1,0,0.08880916646129307,10,0.0496830890882485
output,g84_Phi,1,0,0.40807028588718547,10,0.4005552572189063
output,g84_phi_2,1,0,0.49105337543086625,10,0.4853806697109376
output,g85_phi_1,1,0,-0.0894929878623997,10,-0.1664321897758676
output,g85_Phi,1,0,0.39091745249731136,10,0.384209999793958
output,g85_phi_2,1,0,0.5800235351693667,10,0.5744132788115583
output,g86_phi_1,1,0,0.3495883205624629,10,0.312410102994809
output,g86_Phi,1,0,0.2857597825454425,10,0.26747680113404887
output,g86_phi_2,1,0,0.5730109256733865,10,0.5671087448326939
output,g87_phi_1,1,0,0.20884428934073795,10,0.17597543174951305
output,g87_Phi,1,0,0.3982005072194279,10,0.3864811296820741
output,g87_phi_2,1,0,0.5430866716962928,10,0.5401291775513481
output,g88_phi_1,1,0,0.22429992607982685,10,0.16651891754094478
output,g88_Phi,1,0,0.41417083253106196,10,0.401176442169203
output,g88_phi_2,1,0,0.558648580964467,10,0.5510960745863209
output,g89_phi_1,1,0,0.2212316131814117,10,0.17371060281591083
output,g89_Phi,1,0,0.22657413028928683,10,0.2111472498144923
output,g89_phi_2,1,0,0.6330440536695487,10,0.6283378335761184
output,g90_phi_1,1,0,0.3260079677596059,10,0.2919235758838846
output,g90_Phi,1,0,0.4491851707276846,10,0.43271280512538685
output,g90_phi_2,1,0,0.6637857034557705,10,0.647539444438742
output,g91_phi_1,1,0,0.3369797752006553,10,0.3127695570522996
output,g91_Phi,1,0,0.449277790579156,10,0.4318621125299698
output,g91_phi_2,1,0,0.670357196359416,10,0.6598876896494605
output,g92_phi_1,1,0,0.5307630187585594,10,0.5173674697773691
output,g92_Phi,1,0,0.4497405937792858,10,0.444388346279448
output,g92_phi_2,1,0,0.7874604745184149,10,0.7832316175680757
output,g93_phi_1,1,0,0.24348452200645826,10,0.22755250337986466
output,g93_Phi,1,0,0.21136085915511746,10,0.20387562327733405
output,g93_phi_2,1,0,0.6227009060458885,10,0.6189158182433195
output,g95_phi_1,1,0,0.2755416884013095,10,0.23072984457768045
output,g95_Phi,1,0,0.3050717830222926,10,0.2883386693951635
output,g95_phi_2,1,0,0.5382594603421657,10,0.5282609089917542
output,g96_phi_1,1,0,0.37843424206207904,10,0.3286038290803352
output,g96_Phi,1,0,0.4725370532620775,10,0.46711952701597725
output,g96_phi_2,1,0,0.7206057767261207,10,0.6922210139386537
output,g97_phi_1,1,0,0.08167128729092381,10,0.04571405894086761
output,g97_Phi,1,0,0.41079409885484935,10,0.40524387986330435
output,g97_phi_2,1,0,0.4907308083489237,10,0.4856504575326675
output,g99_phi_1,1,0,0.42978456835467016,10,0.4051584611265454
output,g99_Phi,1,0,0.388988785124714,10,0.3821071358190257
output,g99_phi_2,1,0,0.7022064378331841,10,0.6955692270361855
output,g100_phi_1,1,0,0.03366496320317696,10,-0.042828662629900816
output,g100_Phi,1,0,0.4273724895494822,10,0.4151069564880702
output,g100_phi_2,1,0,0.6198964499666897,10,0.6090712335497699
output,g101_phi_1,1,0,0.20593479368468165,10,0.1756857282620822
output,g101_Phi,1,0,0.3953962940001155,10,0.3863919393501107
output,g101_phi_2,1,0,0.5482665451707452,10,0.5400916115325627
output,g102_phi_1,1,0,0.0751818546186916,10,0.0009110621312232843
output,g102_Phi,1,0,0.2789364233010995,10,0.2540160608610366
output,g102_phi_2,1,0,0.6149709976628659,10,0.6099037471885419
output,g103_phi_1,1,0,0.2342641243787893,10,0.21919144021797882
output,g103_Phi,1,0,0.21293299170801408,10,0.2064210652379886
output,g103_phi_2,1,0,0.6115958679471805,10,0.6100530039345771
output,g104_phi_1,1,0,0.2543546920531665,10,0.23024449940137504
output,g104_Phi,1,0,0.3056952289118583,10,0.2849493214036739
output,g104_phi_2,1,0,0.5381336872506688,10,0.5327416428971903
